Date,DJI,IXIC,IBEX,FCHI,SSMI,FTMIB,GDAX,FTSE,N225,HSI
1998-01-01,7908.24,1570.35,7255.4,2998.91,6265.5,24401.54,4249.69,5135.5,15258.74,10722.76
1998-01-02,7965.04,1581.53,7451.37,3040.14,6265.5,24913.97,4315.37,5193.5,15258.74,10680.57
1998-01-05,7978.99,1594.12,7591.8,3072.84,6397.0,25733.86,4384.81,5262.5,14956.84,10303.54
1998-01-06,7906.25,1580.14,7591.8,3037.73,6375.7,25733.86,4352.63,5264.4,14896.4,10135.51
1998-01-07,7902.26,1561.7,7549.0,3006.73,6390.0,25960.8,4391.54,5224.1,15028.17,9538.61
1998-01-08,7802.62,1555.54,7482.24,2954.94,6330.2,25675.3,4347.23,5237.1,15019.18,9254.53
1998-01-09,7580.41,1503.22,7455.26,2919.81,6251.8,25772.91,4236.94,5138.3,14995.1,8894.64
1998-01-12,7647.17,1507.58,7390.54,2862.54,6062.1,25731.42,4087.28,5068.8,14664.44,8121.06
1998-01-13,7732.12,1541.63,7492.21,2902.93,6169.3,26065.73,4159.4,5083.9,14755.94,8720.0
1998-01-14,7784.68,1548.76,7550.63,2919.8,6149.8,26219.46,4190.08,5106.9,15121.98,9226.55
1998-01-15,7691.76,1547.06,7578.27,2932.75,6148.5,26299.98,4148.34,5165.8,15121.98,8578.98
1998-01-16,7753.54,1562.88,7723.9,2976.09,6274.0,26683.08,4184.46,5263.1,16046.45,8900.04
1998-01-19,7753.54,1562.88,7732.42,2986.95,6340.4,26380.51,4284.94,5273.6,16262.04,9400.42
1998-01-20,7873.12,1590.14,7807.14,3008.34,6397.5,26802.65,4307.91,5278.2,16366.53,9433.7
1998-01-21,7794.4,1587.92,7812.14,2998.11,6391.4,26482.99,4282.84,5272.3,16684.42,9246.8
1998-01-22,7730.87,1576.51,7839.28,2988.59,6356.1,26702.61,4220.25,5253.1,16405.69,8883.73
1998-01-23,7700.73,1575.93,7749.06,2966.15,6391.0,26368.3,4237.31,5181.4,16789.11,8920.2
1998-01-26,7712.94,1561.46,7854.0,3000.47,6411.0,26500.07,4224.78,5237.2,17073.33,8973.86
1998-01-27,7815.07,1578.9,7924.6,3052.02,6424.0,26753.85,4278.76,5326.3,16981.62,9252.36
1998-01-28,7915.46,1610.82,7953.63,3088.26,6508.7,26966.14,4391.02,5372.6,16973.83,9252.36
1998-01-29,7973.01,1619.49,7940.37,3133.82,6530.4,27190.64,4419.38,5422.4,17014.59,9252.36
1998-01-30,7906.5,1619.36,7958.99,3172.14,6582.6,27549.34,4440.38,5458.5,16628.47,9252.36
1998-02-02,8107.78,1652.89,8096.72,3187.5,6688.0,27737.23,4522.81,5599.0,16776.82,10578.6
1998-02-03,8160.34,1666.34,8104.15,3188.43,6720.7,27524.94,4532.52,5612.8,17022.98,10525.51
1998-02-04,8129.7,1680.44,8166.46,3166.26,6708.9,27920.24,4486.95,5595.8,16882.62,10302.61
1998-02-05,8117.24,1676.9,8109.86,3189.6,6772.0,28205.74,4548.46,5606.4,17003.3,10442.13
1998-02-06,8189.49,1694.35,8182.49,3216.66,6857.1,28388.75,4496.33,5629.7,17040.06,10485.86
1998-02-09,8180.52,1690.43,8048.51,3220.94,6828.4,28266.74,4563.55,5600.9,17205.0,10873.15
1998-02-10,8295.61,1709.04,8084.85,3235.76,6860.8,28708.41,4523.75,5613.3,17205.09,10859.67
1998-02-11,8314.54,1708.55,8155.69,3240.0,6931.6,28923.15,4588.43,5607.9,17205.09,10793.41
1998-02-12,8369.59,1714.34,8062.6,3178.7,6856.0,28464.4,4536.83,5552.5,17174.93,10620.03
